# host_unix_ns,fpga_counter_us
1785961344884881500,159634
1785961346673772500,1847162
1785961347904884000,3179712
1785961349063657500,4320083
1785961350297934000,5569783
1785961351499270500,6751019
1785961352797394000,8049560
1785961353936806000,9207397
1785961355044451500,10314184
1785961356119303000,11389666
1785961357165326500,12430285
1785961358234451000,13509489
1785961359254893000,14519855
1785961360286200000,15560918
1785961361416795500,16604094
1785961362548969500,17799587
1785961363710951500,18879488
