# host_unix_ns,fpga_counter_us
1785962013660217000,162799
1785962014689546000,1190109
1785962015767309000,2298863
1785962016863518500,3360122
1785962017920722000,4419855
1785962018982747000,5483171
1785962020021636000,6519585
1785962021055234000,7555111
1785962022079396500,8579334
1785962023103283500,9599120
1785962024144449000,10639751
1785962025189965500,11689519
1785962026221605000,12719716
1785962027250012000,13750090
1785962028285750000,14778905
1785962029341895500,15839840
1785962030449289000,16939989
1785962031494988000,17999762
1785962032564548500,19069571
1785962033610407500,20112419
1785962225647559500,163144
1785962226676343500,1190469
1785962227736831500,2249921
1785962228787554500,3299420
1785962229801118000,4309579
1785962230816353000,5330163
1785962231852512000,6360079
1785962232889776000,7391397
1785962233916549000,8429929
1785962234936534000,9450518
1785962236006799500,10519746
1785962237093478000,11570560
1785962238151962000,12669366
1785962239176513000,13689628
1785962240211438000,14720043
1785962241247189000,15769332
1785962242357238500,16789991
1785962243457933000,17890086
1785962244532119500,18959946
1785962245581144000,20019773
