# host_unix_ns,fpga_counter_us
1785962278781142000,150201
1785962280351173000,1700518
1785962281385826000,2770227
1785962282390968500,3769965
1785962283421585500,4800090
1785962284456527500,5829929
1785962285460974500,6839877
1785962286466176000,7830364
1785962287511136500,8860229
1785962288609844000,9961203
1785962289699807500,11050312
1785962290761408500,12129991
1785962291812414500,13179905
1785962292861303500,14240922
1785962293901363500,15278957
1785962294981387000,16359653
1785962296006133500,17379738
1785962297036160000,18410136
1785962298071766000,19440562
