# host_unix_ns,fpga_counter_us
1785960847682239500,159522
1785960849252332000,1720665
1785960850297889000,2780013
1785960851337422500,3810414
1785960852367627000,4839843
1785960853402920500,5870231
1785960854453416500,6920342
1785960855486886500,7960555
1785960856501817500,8979842
1785960857542069500,10029757
1785960858576716000,11049822
1785960859614477500,12086157
1785960860681423500,13159820
1785960861707029500,14179855
1785960862726227000,15209658
1785960863756480500,16230282
1785960864849314500,17320592
1785960865877401000,18349708
1785960866911295000,19380789
