# host_unix_ns,fpga_counter_us
1786046676483204000,279668426
1786046677556720500,280698126
1786046678631987500,281818293
1786046679671839000,282858439
1786046680702227500,283888459
1786046681732038000,284918416
1786046682757882000,285948662
1786046683767117500,286958880
1786046684801533500,287958970
1786046685887473000,289068095
1786046686952483000,290128377
1786046688006967000,291188246
1786046689061712500,292257764
1786046690072741500,293258864
1786046691082464000,294268079
1786046692152022500,295308133
1786046693202107000,296387679
1786046694236922000,297428206
1786046695246818500,298428422
1786046696276350500,299457911
1786046697327360000,300518440
1786046698382337000,301568178
1786046699457801000,302657922
1786046700516403500,303707899
1786046701521846500,304708118
1786046702561939500,305757994
1786046703626707500,306818471
1786046704641792000,307838039
1786046705657380500,308847794
1786046706698123000,309927828
1786046707761806000,310949035
1786046708796857000,311978087
1786046709846652500,313029234
1786046710882527500,314077753
1786046711876435000,315067680
1786046712892167000,316077938
1786046713982250000,317167998
1786046715006816500,318197995
1786046716002308000,319197797
1786046717003773500,320198107
1786046718026858500,321218108
1786046719046752500,322238017
1786046720077499500,323268152
1786046721141556000,324327924
1786046722139221500,325327932
1786046723146866000,326328679
1786046724162348000,327347904
1786046725171216000,328358142
1786046726192590000,329377732
1786046727214966000,330398845
1786046728281132500,331467807
1786046729281641000,332478031
1786046730291851000,333479167
1786046731316805500,334507902
1786046732323753500,335518696
1786046733336901000,336517552
1786046734356870000,337548856
1786046735442840000,338628052
1786046736461663500,339658048
1786046737481394000,340667821
1786046738524266500,341677961
1786046739546819500,342738094
1786046740573222000,343758242
1786046741582000500,344768002
1786046742676777500,345867756
1786046743672013500,346859917
1786046744681580500,347868042
1786046745696685500,348887833
1786046746696815000,349877825
1786046747707179500,350897822
1786046748721587500,351907532
1786046749761906500,352947661
1786046750798239500,353995972
1786046751838423500,355018230
1786046752892311500,356077856
1786046753932077000,357107804
1786046754956747000,358139347
1786046755996765500,359177710
1786046757033896000,360217855
1786046758036670500,361227849
1786046759037552000,362218816
1786046760051598000,363238017
1786046761077866000,364258359
1786046762112693000,365297833
1786046763137476000,366329372
1786046764196845500,367387931
1786046765222108500,368408066
1786046766232067000,369417614
1786046767252371000,370437987
1786046768272051000,371457508
1786046769302028000,372487672
1786046770311584000,373498606
1786046771301648500,374487926
1786046772316898500,375507840
1786046773316869000,376497797
1786046774347194000,377527776
1786046775362112500,378547987
1786046776372054500,379557924
1786046777396492000,380577675
1786046778442515000,381628227
1786046779466774000,382647499
1786046780497500000,383668237
1786046781532238000,384717505
1786046782546732000,385727480
1786046783556456000,386738507
1786046784577810000,387767518
1786046785646860500,388837483
1786046786673058500,389857837
1786046787692657000,390878207
1786046788732862000,391913537
1786046790336143000,393607962
1786046791677327500,394747538
1786046793930516500,397411698
1786046795527427500,398707724
1786046796565339500,399747790
1786046797945146500,400820103
1786046800133273500,403334062
1786046802275252500,405267217
1786046804384603500,407491211
1786046806281761000,409371461
1786046807591684000,410777618
1786046808647354500,411827912
1786046809651793500,412838145
1786046810666864500,413837534
1786046811697301000,414887519
1786046812721868000,415909174
1786046813756949000,416988135
1786046814792038000,417977937
1786046815811812500,418998819
1786046816831871500,420017890
1786046817841949000,421027841
1786046818871778500,422057084
1786046819876853500,423067796
1786046820912458000,424133367
1786046821958453500,425147551
