# host_unix_ns,fpga_counter_us
1786573236632420000,160436
1786573237646704500,1170814
1786573238669642000,2201160
1786573239672253500,3200223
1786573240737867000,4260690
1786573241753284500,5280861
1786573242762709000,6290268
1786573243764101500,7290425
1786573244797403500,8320534
1786573245826939000,9350702
1786573246832030500,10360939
1786573247883485500,11389928
1786573248889250500,12420676
1786573249883557000,13411216
1786573250897553000,14420872
1786573251896671000,15419548
1786573252893063500,16429943
1786573253902363500,17430160
1786573254927285000,18469975
1786573255936922500,19469950
1786573256937868000,20470358
1786573257962620000,21491297
1786573258973210000,22510218
1786573259997706000,23520232
1786573261027416000,24559943
1786573262065438000,25591813
1786573263051598500,26589808
1786573264057056500,27590340
1786573265062411500,28610151
1786573266082598500,29610421
1786573267087099500,30609951
1786573268117234000,31650364
1786573269147228000,32680389
1786573270122062000,33660815
1786573271127323500,34650142
1786573272137252000,35670460
1786573273142035000,36669451
1786573274142207500,37690288
1786573275142400000,38670610
1786573276157150500,39690382
1786573277182075500,40710542
1786573278187317000,41710317
1786573279212922500,42740634
1786573280254192000,43781074
1786573281282605000,44810599
1786573282292379000,45820477
1786573283372205000,46909921
1786573284372094000,47900490
1786573285362070000,48900303
1786573286358127000,49890954
1786573287377388000,50900008
1786573288413446000,51940610
1786573289433171000,52960689
1786573290512654000,54039964
1786573291531986000,55051090
1786573292547441000,56079860
1786573293547446500,57080067
1786573294556805000,58080134
1786573295584047500,59120230
1786573296592046000,60119844
1786573297632258500,61160263
1786573298642161000,62174863
1786573299672273500,63190176
1786573300688229000,64210210
1786573301728315500,65260155
1786573302762898500,66290024
1786573303792718000,67320137
1786573304887171000,68410099
1786573305922156500,69449984
1786573306912380500,70450198
1786573307921874000,71450142
1786573308912158000,72450197
1786573309927459500,73460924
1786573310928047500,74469527
1786573312022631000,75539952
1786573313032342000,76559754
1786573314032111000,77570373
1786573315017256000,78539699
1786573316012268500,79539912
1786573317006908000,80529994
1786573317987581000,81519989
1786573319088515000,82620036
1786573320127604500,83650182
1786573321157307500,84680129
1786573322199132000,85730128
1786573323217869000,86759867
1786573324222463500,87750282
1786573325222307500,88750722
1786573326272102000,89810153
1786573327272407000,90800549
1786573328277946500,91789990
1786573329287476500,92820094
1786573330308051500,93840234
1786573331343084000,94880362
1786573332372711500,95900441
1786573333438268000,96960399
1786573334442600000,97980132
1786573335478264000,99010199
1786573336514622000,100051010
1786573337547493000,101079513
1786573338572377000,102100064
1786573339569414500,103099722
1786573340607901000,104139641
1786573341633585000,105162264
1786573342652509000,106179804
1786573343672529500,107210177
1786573344683069500,108209882
1786573345707663500,109240384
1786573346692969000,110229875
1786573347757615500,111280041
1786573348757466500,112279810
1786573349783174000,113309737
1786573350822908000,114351759
1786573351883503500,115410124
1786573352922356000,116451987
1786573353957721000,117480717
1786573354993011000,118520216
1786573356031757500,119550052
1786573357052987000,120581131
1786573358083174500,121610457
1786573359142575500,122650014
1786573360436099000,123920049
1786573361911373500,125379638
1786573362992635000,126531060
1786573364013483500,127540132
1786573365027211500,128559695
1786573366012497500,129530287
1786573367017403500,130539810
1786573368002742500,131539590
1786573369037901500,132569925
1786573370033303500,133569693
1786573371032778000,134550841
1786573372057446000,135578914
