# host_unix_ns,fpga_counter_us
1785783148614750500,160980
1785783149657593000,1199935
1785783150687826500,2221854
1785783151632779500,3180332
1785783153051035000,4580422
1785783245806820000,168335
1785783246850473000,1209539
1785783247888888500,2238301
1785783248842636000,3197668
1785783249869495000,4227331
1785783304309660000,150775
1785783305337955000,1170350
1785783306394799500,2220848
1785783307700653500,3551385
1785783308859332500,4603370
1785783344150278500,169440
1785783345218995500,1199953
1785783346268908500,2288813
1785783347284888500,3309623
1785783348283994000,4309164
1785790194591788000,172221
1785790195645016500,1240314
1785790196692649000,2270602
1785790197729925500,3309123
1785790198770320500,4348934
1785794818806342500,159944
1785794819821234000,1172565
1785794820845548500,2200713
1785794821890729000,3229977
1785794822935591500,4290533
1785795393148765000,160487
1785795394192730000,1219974
1785795395247505000,2260276
1785795396287763000,3305157
1785795397312968000,4329563
1785795452333015500,155913
1785795453358222000,1190664
1785795462493233500,160360
1785795463518341000,1190181
1785795464527965500,2210280
1785795465578300000,3220018
1785795466637217500,4310405
1785795866309133500,160131
1785795867344569000,1190285
1785795868389130500,2240400
1785795869418896000,3269966
1785795870449396000,4299907
1785796489496261500,159744
1785796490530966500,1199922
1785796491546037500,2210347
1785796492561445500,3240581
1785796493600982000,4270325
1785796580886329000,159997
1785796581931395500,1230112
1785796582943291000,2240931
1785796583977228500,3279966
1785796584997048500,4299996
1785796714408319000,147074
1785796715442503000,1187554
1785796716506919000,2267181
1785796717592569500,3337521
1785796718626421500,4377234
1785796831142610000,159724
1785796832172066500,1199980
1785796833192105500,2229902
1785796834224104500,3252066
1785796835252056000,4291032
1785796893188640500,221215
1785796894347090500,1466648
1785796895557183000,2624038
1785796896587869000,3675952
1785796897606650000,4682325
1785797015653206000,158880
1785797017232522500,1767428
1785797018292946000,2788784
1785797019322717000,3819177
1785797020353041000,4849650
1785797047612691000,159725
1785797048626348000,1169758
1785797049656924500,2200300
1785797050676692500,3220012
1785797051697988500,4239921
1785797104095924000,491826
1785797105241582000,1630822
1785797106214111500,2719381
1785797106921493500,3345588
1785797107886257500,4305639
1785797156583336500,160360
1785797157616498000,1199526
1785797158646969500,2220798
1785797159676537000,3250377
1785797160651565500,4230753
